"anio","mes","clae2_desc","clae2","porc_medio","mes_cuali"
2007,2,"Servicios sin alojamiento",88,73.26,"Febrero"
2007,2,"Servicios sociales con alojamiento",87,86.72,"Febrero"
2007,2,"Servicios veterinarios",75,44.92,"Febrero"
2007,2,"Servicios y asesoramiento de dirección y gestión empresarial",70,33.96,"Febrero"
2007,2,"Silvicultura y explotación forestal",2,4.29,"Febrero"
2007,2,"Sin clasificar",999999,31.14,"Febrero"
2007,2,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.04,"Febrero"
2007,2,"Telecomunicaciones",61,36.67,"Febrero"
2007,2,"Transporte aéreo",51,41.25,"Febrero"
2007,2,"Transporte marítimo y pluvial",50,16.73,"Febrero"
2007,2,"Transporte terrestre y por tuberías",49,5.37,"Febrero"
2007,2,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,14.22,"Febrero"
2007,3,"Actividades administrativas de oficinas y empresas",82,41.56,"Marzo"
2007,3,"Actividades de apoyo a la minería",9,5.54,"Marzo"
2007,3,"Actividades de construcción especializada",43,5.1,"Marzo"
2007,3,"Actividades de investigación y seguridad",80,9.24,"Marzo"
2007,3,"Actividades de organismos extraterritoriales",99,53.66,"Marzo"
2007,3,"Actividades de procesamiento de información",63,38.93,"Marzo"
2007,3,"Actividades deportivas, recreativas y de entretenimiento",93,30.58,"Marzo"
2007,3,"Administración pública, defensa y seguridad social",84,42.33,"Marzo"
2007,3,"Agencias de viajes, servicios de reservas y actividades conexas",79,52.88,"Marzo"
2007,3,"Agricultura, ganadería, caza y servicios relacionados",1,11.58,"Marzo"
2007,3,"Almacenamiento y logística",52,15.8,"Marzo"
2007,3,"Alquiler y leasing",77,17.96,"Marzo"
2007,3,"Captación, depuración y distribución de agua",36,18.61,"Marzo"
2007,3,"Comercio al por mayor excepto autos y motos",46,24.26,"Marzo"
2007,3,"Comercio al por menor excepto autos y motos",47,41.69,"Marzo"
2007,3,"Construcción de edificios y partes",41,2.92,"Marzo"
2007,3,"Descontaminación y otros servicios",39,14.83,"Marzo"
2007,3,"Edición",58,37.5,"Marzo"
2007,3,"Elaboración de bebidas",11,14.84,"Marzo"
2007,3,"Elaboración de prendas de vestir",14,60.3,"Marzo"
2007,3,"Elaboración de productos alimenticios",10,20.42,"Marzo"
2007,3,"Elaboración de productos de cuero",15,21.95,"Marzo"
2007,3,"Elaboración de productos de madera",16,6.92,"Marzo"
2007,3,"Elaboración de productos de papel",17,13.35,"Marzo"
2007,3,"Elaboración de productos de tabaco",12,19.65,"Marzo"
2007,3,"Elaboracion de productos farmaceuticos",21,35.65,"Marzo"
2007,3,"Elaboración de productos textiles",13,23.71,"Marzo"
2007,3,"Enseñanza",85,74.02,"Marzo"
2007,3,"Extracción de carbon y lignito",5,3.26,"Marzo"
2007,3,"Extracción de minerales metálicos",7,7.95,"Marzo"
2007,3,"Extracción de petroleo crudo y gas natural",6,16.99,"Marzo"
2007,3,"Fabricación de aparatos de uso doméstico",27,12.25,"Marzo"
2007,3,"Fabricación de equipo de transporte",30,6.19,"Marzo"
2007,3,"Fabricación de equipos automotores",29,9.18,"Marzo"
2007,3,"Fabricación de equipos electrónicos",26,25.48,"Marzo"
2007,3,"Fabricación de maquinaria",28,8.25,"Marzo"
2007,3,"Fabricación de muebles y colchones",31,12.68,"Marzo"
2007,3,"Fabricación de productos de caucho y plástico",22,13.2,"Marzo"
2007,3,"Fabricación de productos de hornos de coque",19,19.42,"Marzo"
2007,3,"Fabricación de productos de vidrio y minerales no metálicos",23,6.9,"Marzo"
2007,3,"Fabricación de productos metálicos",25,7.99,"Marzo"
2007,3,"Fabricación de sustancias químicas",20,22.87,"Marzo"
2007,3,"Imprentas y editoriales",18,20.19,"Marzo"
2007,3,"Industrias básicas de hierro y acero",24,6.06,"Marzo"
2007,3,"Industrias manufactureras diversas",32,22.44,"Marzo"
2007,3,"Ingeniería civil",42,5.3,"Marzo"
2007,3,"Investigación y desarrollo científico",72,58.7,"Marzo"
2007,3,"Juegos de azar, apuestas",92,47.8,"Marzo"
2007,3,"Otras actividades profesionales, científicas y técnicas",74,37.45,"Marzo"
2007,3,"Otras industrias extractivas",8,7.07,"Marzo"
2007,3,"Otros servicios personales",96,43.21,"Marzo"
2007,3,"Pesca y acuicultura",3,14.39,"Marzo"
2007,3,"Programación y radiodifusión",60,26.48,"Marzo"
2007,3,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.68,"Marzo"
2007,3,"Reparación de computadoras y equipos de uso doméstico",95,17.07,"Marzo"
2007,3,"Reparacion de maquinaria y equipo",33,8.31,"Marzo"
2007,3,"Servicio de correo y mensajería",53,13.68,"Marzo"
2007,3,"Servicios a edificios y actividades de jardinería",81,47.26,"Marzo"
2007,3,"Servicios artísticos y de espectáculos",90,31.45,"Marzo"
2007,3,"Servicios audiovisuales",59,39.77,"Marzo"
2007,3,"Servicios auxiliares de la actividad financiera y de seguros",66,48.58,"Marzo"
2007,3,"Servicios de alojamiento",55,52.58,"Marzo"
2007,3,"Servicios de arquitectura e ingeniería",71,13.62,"Marzo"
2007,3,"Servicios de asociaciones",94,47.65,"Marzo"
2007,3,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,57.34,"Marzo"
2007,3,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,10.84,"Marzo"
2007,3,"Servicios de expendio de alimentos y bebidas",56,37.14,"Marzo"
2007,3,"Servicios de obtención y dotación de personal",78,26.21,"Marzo"
2007,3,"Servicios de programación, consultoría informática y actividades conexas",62,31.41,"Marzo"
2007,3,"Servicios de publicidad e investigación de mercado",73,48.57,"Marzo"
2007,3,"Servicios de salud humana",86,71.55,"Marzo"
2007,3,"Servicios de seguros, reaseguros y pensiones",65,51.8,"Marzo"
