"anio","clae2_desc","clae2","porc_medio"
2010,"Comercio al por menor excepto autos y motos",47,43.99
2010,"Construcción de edificios y partes",41,3.87
2010,"Descontaminación y otros servicios",39,10.55
2010,"Edición",58,38.35
2010,"Elaboración de bebidas",11,14.7
2010,"Elaboración de prendas de vestir",14,58.7
2010,"Elaboración de productos alimenticios",10,19.53
2010,"Elaboración de productos de cuero",15,25.36
2010,"Elaboración de productos de madera",16,7.7
2010,"Elaboración de productos de papel",17,13.4
2010,"Elaboración de productos de tabaco",12,16.6
2010,"Elaboracion de productos farmaceuticos",21,35.75
2010,"Elaboración de productos textiles",13,23.69
2010,"Enseñanza",85,73.84
2010,"Extracción de carbon y lignito",5,6.54
2010,"Extracción de minerales metálicos",7,7.72
2010,"Extracción de petroleo crudo y gas natural",6,17.34
2010,"Fabricación de aparatos de uso doméstico",27,13.04
2010,"Fabricación de equipo de transporte",30,8.23
2010,"Fabricación de equipos automotores",29,9.56
2010,"Fabricación de equipos electrónicos",26,26.06
2010,"Fabricación de maquinaria",28,8.92
2010,"Fabricación de muebles y colchones",31,12.68
2010,"Fabricación de productos de caucho y plástico",22,13.1
2010,"Fabricación de productos de hornos de coque",19,20.67
2010,"Fabricación de productos de vidrio y minerales no metálicos",23,7.31
2010,"Fabricación de productos metálicos",25,8.45
2010,"Fabricación de sustancias químicas",20,23.42
2010,"Imprentas y editoriales",18,20.83
2010,"Industrias básicas de hierro y acero",24,6.31
2010,"Industrias manufactureras diversas",32,22.69
2010,"Ingeniería civil",42,6.14
2010,"Investigación y desarrollo científico",72,60.36
2010,"Juegos de azar, apuestas",92,48.65
2010,"Otras actividades profesionales, científicas y técnicas",74,39.68
2010,"Otras industrias extractivas",8,7.56
2010,"Otros servicios personales",96,46.9
2010,"Pesca y acuicultura",3,13.27
2010,"Programación y radiodifusión",60,26.9
2010,"Recolección, transporte, tratamiento y disposición final de residuos",38,3.84
2010,"Reparación de computadoras y equipos de uso doméstico",95,17.28
2010,"Reparacion de maquinaria y equipo",33,9.06
2010,"Servicio de correo y mensajería",53,12.81
2010,"Servicios a edificios y actividades de jardinería",81,51.69
2010,"Servicios artísticos y de espectáculos",90,33.86
2010,"Servicios audiovisuales",59,41.56
2010,"Servicios auxiliares de la actividad financiera y de seguros",66,50.45
2010,"Servicios de alojamiento",55,54.12
2010,"Servicios de arquitectura e ingeniería",71,16.03
2010,"Servicios de asociaciones",94,48.03
2010,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,57.54
2010,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,12.01
2010,"Servicios de expendio de alimentos y bebidas",56,39.9
2010,"Servicios de obtención y dotación de personal",78,25.87
2010,"Servicios de programación, consultoría informática y actividades conexas",62,30.54
2010,"Servicios de publicidad e investigación de mercado",73,48.15
2010,"Servicios de salud humana",86,71.65
2010,"Servicios de seguros, reaseguros y pensiones",65,51.63
2010,"Servicios financieros (excepto seguros y pensiones)",64,46.82
2010,"Servicios inmobiliarios",68,34.83
2010,"Servicios jurídicos y de contabilidad",69,68.31
2010,"Servicios sin alojamiento",88,76.61
2010,"Servicios sociales con alojamiento",87,87.39
2010,"Servicios veterinarios",75,49.07
2010,"Servicios y asesoramiento de dirección y gestión empresarial",70,37.48
2010,"Silvicultura y explotación forestal",2,5.69
2010,"Sin clasificar",999999,23.49
2010,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.58
2010,"Telecomunicaciones",61,37.03
2010,"Transporte aéreo",51,40.57
2010,"Transporte marítimo y pluvial",50,16.32
2010,"Transporte terrestre y por tuberías",49,5.36
2010,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,15.69
2011,"Actividades administrativas de oficinas y empresas",82,45.35
2011,"Actividades de apoyo a la minería",9,5.65
2011,"Actividades de construcción especializada",43,5.81
2011,"Actividades de investigación y seguridad",80,9.69
2011,"Actividades de organismos extraterritoriales",99,54.27
2011,"Actividades de procesamiento de información",63,38.07
2011,"Actividades deportivas, recreativas y de entretenimiento",93,32.14
2011,"Administración pública, defensa y seguridad social",84,50.1
2011,"Agencias de viajes, servicios de reservas y actividades conexas",79,54.26
2011,"Agricultura, ganadería, caza y servicios relacionados",1,11.57
2011,"Almacenamiento y logística",52,16.1
2011,"Alquiler y leasing",77,15.16
2011,"Captación, depuración y distribución de agua",36,19.08
2011,"Comercio al por mayor excepto autos y motos",46,24.92
2011,"Comercio al por menor excepto autos y motos",47,44.34
2011,"Construcción de edificios y partes",41,3.83
2011,"Descontaminación y otros servicios",39,10.33
2011,"Edición",58,38.19
2011,"Elaboración de bebidas",11,15.1
2011,"Elaboración de prendas de vestir",14,58.19
2011,"Elaboración de productos alimenticios",10,20.09
2011,"Elaboración de productos de cuero",15,26.08
2011,"Elaboración de productos de madera",16,7.78
2011,"Elaboración de productos de papel",17,13.5
2011,"Elaboración de productos de tabaco",12,17.36
2011,"Elaboracion de productos farmaceuticos",21,35.78
2011,"Elaboración de productos textiles",13,23.57
2011,"Enseñanza",85,73.83
2011,"Extracción de carbon y lignito",5,6.13
2011,"Extracción de minerales metálicos",7,7.63
2011,"Extracción de petroleo crudo y gas natural",6,17.45
2011,"Fabricación de aparatos de uso doméstico",27,13.05
2011,"Fabricación de equipo de transporte",30,8.63
2011,"Fabricación de equipos automotores",29,9.31
2011,"Fabricación de equipos electrónicos",26,27.63
2011,"Fabricación de maquinaria",28,8.8
2011,"Fabricación de muebles y colchones",31,12.82
2011,"Fabricación de productos de caucho y plástico",22,12.88
2011,"Fabricación de productos de hornos de coque",19,20.9
2011,"Fabricación de productos de vidrio y minerales no metálicos",23,7.23
2011,"Fabricación de productos metálicos",25,8.38
2011,"Fabricación de sustancias químicas",20,23.23
2011,"Imprentas y editoriales",18,21.09
2011,"Industrias básicas de hierro y acero",24,6.48
2011,"Industrias manufactureras diversas",32,21.76
2011,"Ingeniería civil",42,6.03
2011,"Investigación y desarrollo científico",72,60.38
2011,"Juegos de azar, apuestas",92,48.92
2011,"Otras actividades profesionales, científicas y técnicas",74,41.32
2011,"Otras industrias extractivas",8,8.46
2011,"Otros servicios personales",96,46.99
2011,"Pesca y acuicultura",3,12.43
2011,"Programación y radiodifusión",60,26.83
2011,"Recolección, transporte, tratamiento y disposición final de residuos",38,3.81
2011,"Reparación de computadoras y equipos de uso doméstico",95,18.32
2011,"Reparacion de maquinaria y equipo",33,8.86
2011,"Servicio de correo y mensajería",53,12.76
2011,"Servicios a edificios y actividades de jardinería",81,51.98
2011,"Servicios artísticos y de espectáculos",90,33.52
2011,"Servicios audiovisuales",59,41.65
2011,"Servicios auxiliares de la actividad financiera y de seguros",66,51.49
2011,"Servicios de alojamiento",55,54.5
2011,"Servicios de arquitectura e ingeniería",71,16.21
2011,"Servicios de asociaciones",94,48.54
2011,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,57.11
2011,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,11.99
2011,"Servicios de expendio de alimentos y bebidas",56,40.24
2011,"Servicios de obtención y dotación de personal",78,25.55
2011,"Servicios de programación, consultoría informática y actividades conexas",62,30.66
2011,"Servicios de publicidad e investigación de mercado",73,48.64
2011,"Servicios de salud humana",86,71.61
2011,"Servicios de seguros, reaseguros y pensiones",65,51.65
2011,"Servicios financieros (excepto seguros y pensiones)",64,47.78
2011,"Servicios inmobiliarios",68,35.4
2011,"Servicios jurídicos y de contabilidad",69,68.28
2011,"Servicios sin alojamiento",88,76.94
2011,"Servicios sociales con alojamiento",87,87.5
2011,"Servicios veterinarios",75,49.67
2011,"Servicios y asesoramiento de dirección y gestión empresarial",70,38.55
2011,"Silvicultura y explotación forestal",2,4.9
